ID|DOMAIN|FEATURE|USER_STORY|EXPECTED_BEHAVIOR|KEY_FILES|POTENTIAL_ISSUES|TEST_STATUS|ERRORS_FOUND|FIX_STATUS|RETEST_STATUS
AUTH-01|Authentication & Access|Sign in with Privy|As a user, I want to authenticate securely using Privy, so that I can access my account|User clicks SignIn button -> usePrivy login() called -> redirects to "/" when authenticated|components/SignInPage/SignInPage.tsx, app/signin/page.tsx|none observed||||
AUTH-02|Authentication & Access|Access Token Retrieval|As a user, I want to retrieve my Privy access token for API authentication, so that I can use it in external integrations|User navigates to /access -> loading state -> fetches token via getAccessToken() -> shows token in card with copy/refresh buttons|app/access/page.tsx, hooks/useCopy.tsx|Token displayed in plain text; no redaction||||
AUTH-03|Authentication & Access|Automatic Redirect When Authenticated|As a user, I want to be auto-redirected from signin to home when already authenticated, so that I don't stay on the login page|SignInPage checks usePrivy.authenticated -> if true, redirects via router.push("/")|components/SignInPage/SignInPage.tsx|none observed||||
CHAT-01|Chat Core|New Chat Initialization|As a user, I want to start a new chat, so that I can begin a conversation|Click New Chat -> NewChatBootstrap provisions session/sandbox -> renders Chat with chatId + sessionId|app/chat/page.tsx, components/VercelChat/NewChatBootstrap.tsx, hooks/useNewChatBootstrap.ts|Race condition if session provisioning fails - generic error message||||
CHAT-02|Chat Core|Chat Message Display|As a user, I want to see my chat conversation history, so that I can review previous messages|Messages loaded from context -> displayed with user/assistant styling -> animations on render|components/VercelChat/messages.tsx, components/VercelChat/message.tsx|none observed||||
CHAT-03|Chat Core|Message Streaming|As a user, I want to see AI responses stream in real-time, so that I get faster feedback|useVercelChat uses Vercel AI SDK -> messages stream via transport (legacy /api/chat or workflow /api/chat/workflow)|hooks/useVercelChat.ts, hooks/useChatTransport.ts, providers/VercelChatProvider.tsx|Missing error toast when streaming fails mid-response||||
CHAT-04|Chat Core|Chat Input with Text|As a user, I want to send text messages to the AI, so that I can ask questions|ChatInput captures text -> sends via handleSendMessage -> clears input on success|components/VercelChat/ChatInput.tsx, components/VercelChat/FileMentionsInput.tsx|none observed||||
CHAT-05|Chat Core|File Mentions via @-syntax|As a user, I want to mention files using @, so that the AI has context about my files|Type @ in input -> suggestions appear -> select file -> renders as pill-style mention|components/VercelChat/FileMentionsInput.tsx, hooks/useFileMentionSuggestions.ts|No validation that mentioned files still exist at send time||||
CHAT-06|Chat Core|File/Image Attachments|As a user, I want to attach files and images to my message, so that the AI can analyze them|Click attachments button -> file picker -> preview before send -> upload on message send|components/VercelChat/PureAttachmentsButton.tsx, components/VercelChat/AttachmentsPreview.tsx|Pending uploads not visually distinguished in preview||||
CHAT-07|Chat Core|Message Editing|As a user, I want to edit a message I sent, so that I can correct mistakes|Hover user message -> Edit -> textarea opens -> Cancel or Send to re-execute from that point|components/VercelChat/EditingMessage.tsx, components/VercelChat/message-editor.tsx|Missing autosave draft indicator; slow with large histories||||
CHAT-08|Chat Core|Message Copy Action|As a user, I want to copy a message response to clipboard, so that I can paste it elsewhere|Hover assistant message -> Copy button -> animated check mark on success|components/VercelChat/CopyAction.tsx|No indication when clipboard write fails||||
CHAT-09|Chat Core|Message Retry/Regenerate|As a user, I want to retry the last assistant response, so that I can get a different answer|Hover last assistant message -> Retry -> reload() regenerates response from user's last message|components/VercelChat/MessageParts.tsx|Retry disabled while streaming but no visual feedback why||||
CHAT-10|Chat Core|Stop Generation|As a user, I want to stop an ongoing AI response, so that I can cancel if it's taking too long|While streaming, Send button becomes Stop -> click Stop -> stop() called via context|components/VercelChat/ChatInput.tsx|No visual confirmation that stop was successful||||
CHAT-11|Chat Core|Greeting Message with Artist Context|As a user, I want a greeting with my selected artist's context, so that the AI knows who I'm talking about|ChatGreeting displays "Ask me about [Artist] " or "your roster" if none -> fades on first message|components/Chat/ChatGreeting.tsx|Missing greeting in chats opened from history (only new chats)||||
CHAT-12|Chat Core|Model Selection|As a user, I want to select which AI model to use, so that I can choose based on my needs|Click ModelSelect -> featured/paid models + More Models -> lock icon on unpaid -> select or subscription prompt|components/ModelSelect/ModelSelect.tsx, components/ModelSelect/ModelSelectItem.tsx|localStorage persistence can be lost; no cost indication||||
